$ hadoop MaxTemperature file:///home/ec2-user/ncdc_data file:///home/ec2-user/output
16/10/11 12:00:23 INFO client.RMProxy: Connecting to ResourceManager at /0.0.0.0:8032
16/10/11 12:00:24 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
16/10/11 12:00:24 INFO input.FileInputFormat: Total input paths to process : 100
16/10/11 12:00:24 INFO mapreduce.JobSubmitter: number of splits:100
16/10/11 12:00:25 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1476166374694_0002
16/10/11 12:00:25 INFO impl.YarnClientImpl: Submitted application application_1476166374694_0002
16/10/11 12:00:25 INFO mapreduce.Job: The url to track the job: http://ip-10-0-1-201:8088/proxy/application_1476166374694_0002/
16/10/11 12:00:25 INFO mapreduce.Job: Running job: job_1476166374694_0002
16/10/11 12:00:32 INFO mapreduce.Job: Job job_1476166374694_0002 running in uber mode : false
16/10/11 12:40:11 INFO mapreduce.Job:  map 100% reduce 75%
16/10/11 12:40:29 INFO mapreduce.Job:  map 100% reduce 76%
16/10/11 12:40:44 INFO mapreduce.Job:  map 100% reduce 77%
16/10/11 12:40:59 INFO mapreduce.Job:  map 100% reduce 78%
16/10/11 12:41:17 INFO mapreduce.Job:  map 100% reduce 79%
16/10/11 12:41:33 INFO mapreduce.Job:  map 100% reduce 80%
16/10/11 12:41:51 INFO mapreduce.Job:  map 100% reduce 81%
16/10/11 12:42:06 INFO mapreduce.Job:  map 100% reduce 82%
16/10/11 12:42:24 INFO mapreduce.Job:  map 100% reduce 83%
16/10/11 12:42:39 INFO mapreduce.Job:  map 100% reduce 84%
16/10/11 12:42:57 INFO mapreduce.Job:  map 100% reduce 85%
16/10/11 12:43:12 INFO mapreduce.Job:  map 100% reduce 86%
16/10/11 12:43:30 INFO mapreduce.Job:  map 100% reduce 87%
16/10/11 12:43:45 INFO mapreduce.Job:  map 100% reduce 88%
16/10/11 12:44:03 INFO mapreduce.Job:  map 100% reduce 89%
16/10/11 12:44:18 INFO mapreduce.Job:  map 100% reduce 90%
16/10/11 12:44:36 INFO mapreduce.Job:  map 100% reduce 91%
16/10/11 12:44:51 INFO mapreduce.Job:  map 100% reduce 92%
16/10/11 12:45:09 INFO mapreduce.Job:  map 100% reduce 93%
16/10/11 12:45:24 INFO mapreduce.Job:  map 100% reduce 94%
16/10/11 12:45:42 INFO mapreduce.Job:  map 100% reduce 95%
16/10/11 12:45:57 INFO mapreduce.Job:  map 100% reduce 96%
16/10/11 12:46:15 INFO mapreduce.Job:  map 100% reduce 97%
16/10/11 12:46:31 INFO mapreduce.Job:  map 100% reduce 98%
16/10/11 12:46:49 INFO mapreduce.Job:  map 100% reduce 99%
16/10/11 12:47:04 INFO mapreduce.Job:  map 100% reduce 100%
16/10/11 12:47:09 INFO mapreduce.Job: Job job_1476166374694_0002 completed successfully
16/10/11 12:47:09 INFO mapreduce.Job: Counters: 50
	File System Counters
		FILE: Number of bytes read=74119332001
		FILE: Number of bytes written=50880402086
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		HDFS: Number of bytes read=10200
		HDFS: Number of bytes written=0
		HDFS: Number of read operations=100
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=0
	Job Counters
		Killed map tasks=1
		Launched map tasks=100
		Launched reduce tasks=1
		Rack-local map tasks=100
		Total time spent by all maps in occupied slots (ms)=10897658
		Total time spent by all reduces in occupied slots (ms)=1808246
		Total time spent by all map tasks (ms)=10897658
		Total time spent by all reduce tasks (ms)=1808246
		Total vcore-milliseconds taken by all map tasks=10897658
		Total vcore-milliseconds taken by all reduce tasks=1808246
		Total megabyte-milliseconds taken by all map tasks=11159201792
		Total megabyte-milliseconds taken by all reduce tasks=1851643904
	Map-Reduce Framework
		Map input records=1293357716
		Map output records=1182732762
		Map output bytes=10644594858
		Map output materialized bytes=13010060982
		Input split bytes=10200
		Combine input records=0
		Combine output records=0
		Reduce input groups=100
		Reduce shuffle bytes=13010060982
		Reduce input records=1182732762
		Reduce output records=100
		Spilled Records=4624404467
		Shuffled Maps =100
		Failed Shuffles=0
		Merged Map outputs=100
		GC time elapsed (ms)=208835
		CPU time spent (ms)=7734300
		Physical memory (bytes) snapshot=28060827648
		Virtual memory (bytes) snapshot=213930344448
		Total committed heap usage (bytes)=20568342528
	Shuffle Errors
		BAD_ID=0
		CONNECTION=0
		IO_ERROR=0
		WRONG_LENGTH=0
		WRONG_MAP=0
		WRONG_REDUCE=0
	File Input Format Counters
		Bytes Read=36260940552
	File Output Format Counters
		Bytes Written=916
